Date,Open,High,Low,Close,Adj Close,Volume,P.E. ratio,36months return,60months return,120months return,,,,,,,date, value
1/8/2010,1107.530029,1129.23999,1039.699951,1049.329956,1049.329956,85738250000,14.6024,15.9%,13.5%,12.8%,,,,,,,1/7/1938,20
1/9/2010,1049.719971,1157.160034,1049.719971,1141.199951,1141.199951,79589450000,15.8809,13.8%,11.0%,11.4%,,,,,,,1/8/1938,19.4516
1/10/2010,1143.48999,1196.140015,1131.869995,1183.26001,1183.26001,89536270000,15.2975,14.1%,11.9%,10.7%,,,,,,,1/9/1938,19.7419
1/11/2010,1185.709961,1227.079956,1173,1180.550049,1180.550049,87151070000,15.2624,15.2%,12.0%,11.9%,,,,,,,1/10/1938,20.5781
1/12/2010,1186.599976,1262.599976,1186.599976,1257.640015,1257.640015,80984530000,16.2591,13.7%,10.2%,11.6%,,,,,,,1/11/1938,19.8906
1/1/2011,1257.619995,1302.670044,1257.619995,1286.119995,1286.119995,92164940000,15.8175,11.5%,8.6%,11.2%,,,,,,,1/12/1938,20.6406
1/2/2011,1289.140015,1344.069946,1289.140015,1327.219971,1327.219971,59223660000,16.323,11.9%,7.8%,11.1%,,,,,,,1/1/1939,17.3239
1/3/2011,1328.640015,1332.280029,1249.050049,1325.829956,1325.829956,89507640000,16.3059,12.2%,9.2%,11.6%,,,,,,,1/2/1939,17.8873
1/4/2011,1329.47998,1364.560059,1294.699951,1363.609985,1363.609985,77364810000,16.2586,11.4%,8.7%,11.9%,,,,,,,1/3/1939,15.4648
1/5/2011,1365.209961,1370.579956,1311.800049,1345.199951,1345.199951,81708980000,16.0391,12.7%,9.3%,12.1%,,,,,,,1/4/1939,14.3684
1/6/2011,1345.199951,1345.199951,1258.069946,1320.640015,1320.640015,86122730000,15.7463,14.1%,9.7%,12.5%,,,,,,,1/5/1939,15.2632
1/7/2011,1320.640015,1356.47998,1282.859985,1292.280029,1292.280029,81102170000,14.8572,14.3%,11.0%,13.0%,,,,,,,1/6/1939,14.2895
1/8/2011,1292.589966,1307.380005,1101.540039,1218.890015,1218.890015,1.08419E+11,14.0135,18.0%,12.2%,14.0%,,,,,,,1/7/1939,14.8642
1/9/2011,1219.119995,1229.290039,1114.219971,1131.420044,1131.420044,1.02787E+11,13.0078,20.4%,13.9%,14.3%,,,,,,,1/8/1939,13.8025
1/10/2011,1131.209961,1292.660034,1074.77002,1253.300049,1253.300049,98063670000,14.414,17.2%,11.1%,13.9%,,,,,,,1/9/1939,16.0741
1/11/2011,1251,1277.550049,1158.660034,1246.959961,1246.959961,84275050000,14.3411,18.4%,12.0%,13.9%,,,,,,,1/10/1939,14.2556
1/12/2011,1246.910034,1269.369995,1202.369995,1257.599976,1257.599976,74742430000,14.4635,17.9%,12.2%,14.3%,,,,,,,1/11/1939,13.5556
1/1/2012,1258.859985,1333.469971,1258.859985,1312.410034,1312.410034,79567560000,14.8228,15.0%,11.7%,13.2%,,,,,,,1/12/1939,13.8778
1/2/2012,1312.449951,1378.040039,1312.449951,1365.680054,1365.680054,78385710000,15.4244,15.5%,11.6%,12.3%,,,,,,,1/1/1940,12.1717
1/3/2012,1365.900024,1419.150024,1340.030029,1408.469971,1408.469971,83899660000,15.9077,13.7%,10.9%,12.4%,,,,,,,1/2/1940,12.2525
1/4/2012,1408.469971,1422.380005,1357.380005,1397.910034,1397.910034,74761710000,15.8998,14.3%,11.3%,11.4%,,,,,,,1/3/1940,12.3737
1/5/2012,1397.859985,1415.319946,1291.97998,1310.329956,1310.329956,86920490000,14.9037,17.2%,13.0%,12.2%,,,,,,,1/4/1940,11.7212
1/6/2012,1309.869995,1363.459961,1266.73999,1362.160034,1362.160034,81582440000,15.4932,14.8%,12.2%,10.8%,,,,,,,1/5/1940,8.9135
1/7/2012,1362.329956,1391.73999,1325.410034,1379.319946,1379.319946,73103810000,15.9459,15.1%,12.4%,11.6%,,,,,,,1/6/1940,9.5962
1/8/2012,1379.319946,1426.680054,1354.650024,1406.579956,1406.579956,70283810000,16.261,11.9%,11.9%,10.9%,,,,,,,1/7/1940,9.5278
1/9/2012,1406.540039,1474.51001,1396.560059,1440.670044,1440.670044,69784280000,16.6551,10.0%,11.8%,9.5%,,,,,,,1/8/1940,9.7778
1/10/2012,1440.900024,1470.959961,1403.280029,1412.160034,1412.160034,71752320000,16.3237,13.8%,12.8%,10.6%,,,,,,,1/9/1940,9.8704
1/11/2012,1412.199951,1434.27002,1343.349976,1416.180054,1416.180054,71489310000,16.3701,13.7%,13.3%,11.2%,,,,,,,1/10/1940,10.5524
1/12/2012,1416.339966,1448,1398.109985,1426.189941,1426.189941,66388180000,16.4858,12.7%,13.4%,10.4%,,,,,,,1/11/1940,10.1048
1/1/2013,1426.189941,1509.939941,1426.189941,1498.109985,1498.109985,75848510000,17.0822,9.0%,13.5%,10.5%,,,,,,,1/12/1940,10.0762
