Date,Open,High,Low,Close,Adj Close,Volume,daily pct_change,5 days pct_change,10 days pct_change,20 days pct_change,,,,,,,HS Index,daily pct_change,5 days pct_change,10 days pct_change,20 days pct_change
19/4/2005,13430.15039,13503.29004,13428.38965,13444.08984,13444.08984,224729200,0.67%,-1.57%,-0.51%,-2.71%,,,,,,,,,,,
20/4/2005,13534.24023,13567.94043,13489.12988,13501.62988,13501.62988,187061600,0.43%,-2.16%,-0.45%,-2.36%,,,,,,,,,,,
21/4/2005,13407.57031,13639.86035,13401.86035,13597.30957,13597.30957,312422000,0.71%,-1.27%,-0.04%,-1.71%,,,,,,,,,,,
22/4/2005,13684.58984,13727.44043,13649.5,13693.5498,13693.5498,300321600,0.71%,0.40%,0.20%,-0.60%,,,,,,,,,,,
25/4/2005,13744.4502,13802.42969,13711.38965,13750.23047,13750.23047,255959400,0.41%,2.96%,0.66%,1.08%,,,,,,,,,,,
26/4/2005,13768.73047,13919.51953,13719.80957,13859.58008,13859.58008,389263800,0.80%,3.09%,1.48%,1.93%,,,,,,,,,,,
27/4/2005,13832.80957,13847.38965,13799.65039,13839.63965,13839.63965,177705600,-0.14%,2.50%,0.29%,3.19%,,,,,,,,,,,
28/4/2005,13813.67969,13956.51953,13813.67969,13909.41992,13909.41992,339914600,0.50%,2.30%,0.99%,3.60%,,,,,,,,,,,
29/4/2005,13829.4502,13913.09961,13801.17969,13908.96973,13908.96973,309020000,0.00%,1.57%,1.98%,2.90%,,,,,,,,,,,
3/5/2005,13969.63965,13994.66016,13877.91992,13893.98047,13893.98047,231424400,-0.11%,1.05%,4.03%,2.98%,,,,,,,,,,,
4/5/2005,13958.17969,13981.78027,13917.7002,13945.0498,13945.0498,245271200,0.37%,0.62%,3.73%,3.19%,,,,,,,,,,,
5/5/2005,14056.92969,14110.29004,14021.92969,14061.7002,14061.7002,313172200,0.84%,1.60%,4.15%,3.68%,,,,,,,,,,,
6/5/2005,14041.29004,14095.84961,14004.07031,14033.95996,14033.95996,272557800,-0.20%,0.90%,3.21%,3.17%,,,,,,,,,,,
9/5/2005,14068.25977,14106.53027,14006.84961,14085.08984,14085.08984,283408200,0.36%,1.27%,2.86%,3.06%,,,,,,,,,,,
10/5/2005,14097.19043,14112.61035,13991.19043,14018.37988,14018.37988,235428800,-0.47%,0.90%,1.95%,2.62%,,,,,,,,,,,
11/5/2005,13959.29004,13973.62012,13895.26953,13939.7998,13939.7998,206986600,-0.56%,-0.04%,0.58%,2.06%,,,,,,,,,,,
12/5/2005,13968.9502,13984.34961,13928.07031,13968.28027,13968.28027,194130600,0.20%,-0.66%,0.93%,1.22%,,,,,,,,,,,
13/5/2005,13907.16016,13921.41992,13841.86035,13866.80957,13866.80957,223792600,-0.73%,-1.19%,-0.31%,0.69%,,,,,,,,,,,
17/5/2005,13861.59961,13863.16016,13626.63965,13667.03027,13667.03027,401396200,-1.44%,-2.97%,-1.74%,0.21%,,,,,,,,,,,
18/5/2005,13648.25977,13668.42969,13590.0498,13627.00977,13627.00977,271572400,-0.29%,-2.79%,-1.92%,2.04%,,,,,,,,,,,
19/5/2005,13676.87012,13747.96973,13645.08008,13698.92969,13698.92969,253528600,0.53%,-1.73%,-1.76%,1.90%,,,,,,,,,,,
20/5/2005,13715.65039,13723.82031,13642.83984,13717.41992,13717.41992,201016800,0.13%,-1.80%,-2.45%,1.60%,,,,,,,,,,,
23/5/2005,13730.08984,13730.08984,13632.23047,13699.12988,13699.12988,163988800,-0.13%,-1.21%,-2.39%,0.75%,,,,,,,,,,,
24/5/2005,13703.13965,13726.15039,13677.33984,13719.32031,13719.32031,158187200,0.15%,0.38%,-2.60%,0.19%,,,,,,,,,,,
25/5/2005,13715.08984,13717.07031,13542.48047,13562.05957,13562.05957,294308800,-1.15%,-0.48%,-3.26%,-1.37%,,,,,,,,,,,
26/5/2005,13569.25977,13590.61035,13541.76953,13569.99023,13569.99023,182625600,0.06%,-0.94%,-2.65%,-2.09%,,,,,,,,,,,
27/5/2005,13671.63965,13739.2002,13669.2002,13714.78027,13714.78027,218391000,1.07%,-0.02%,-1.81%,-0.90%,,,,,,,,,,,
30/5/2005,13741.28027,13851.33008,13684.51953,13845.09961,13845.09961,255851000,0.95%,1.07%,-0.16%,-0.46%,,,,,,,,,,,
31/5/2005,13815.73047,13932.91992,13779.7998,13867.07031,13867.07031,348640200,0.16%,1.08%,1.46%,-0.30%,,,,,,,,,,,
1/6/2005,13817.26953,13895.33008,13813.69043,13873.07031,13873.07031,302359400,0.04%,2.29%,1.81%,-0.15%,,,,,,,,,,,
2/6/2005,13942.95996,13946.00977,13779.7998,13814.58008,13814.58008,325242400,-0.42%,1.80%,0.84%,-0.94%,,,,,,,,,,,
3/6/2005,13821.9502,13870.49023,13792.65039,13818.4502,13818.4502,297765200,0.03%,0.76%,0.74%,-1.73%,,,,,,,,,,,
6/6/2005,13768.03027,13862.62012,13745.67969,13860.5498,13860.5498,265783800,0.30%,0.11%,1.18%,-1.24%,,,,,,,,,,,
7/6/2005,13806,13846.2998,13800.08984,13837.29004,13837.29004,258052800,-0.17%,-0.21%,0.86%,-1.76%,,,,,,,,,,,
8/6/2005,13868.13965,13938.79004,13842.00977,13898.5498,13898.5498,421819800,0.44%,0.18%,2.48%,-0.85%,,,,,,,,,,,
9/6/2005,13884.21973,13984.33984,13876.58008,13898.30957,13898.30957,419254400,0.00%,0.61%,2.42%,-0.30%,,,,,,,,,,,
10/6/2005,13927.00977,13972.70996,13916.86035,13934.75977,13934.75977,326592000,0.26%,0.84%,1.60%,-0.24%,,,,,,,,,,,
